Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Ultrafit-15-6-inch-Backpacks-Travelling-Backpack-Black/dp/B082Y7TZ8Z/ref=sr_1_284?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-284,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","₹3,999",4.4,,,,
https://www.amazon.in/Shoulder-Lightweight-Duffle-Weekend-Blue-Orange/dp/B09139DYF1/ref=sr_1_285?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-285,"Aurion Vista Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga",₹349,4.0,,,,
https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ74KLLY/ref=sr_1_286?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-286,Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,"₹1,576",4.0,,,,
https://www.amazon.in/Zipline-Foldable-Waterproof-Backpacks-Cover/dp/B07TR5WHMX/ref=sr_1_287?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-287,Zipline Rain & Dust Nylon Foldable Waterproof Cover with Pouch Laptop Bags and Backpacks Bag Cover  (Black),₹233,3.5,,,,
https://www.amazon.in/SATELLITE-Black-Casual-Backpack-Bagpack/dp/B083DZVFZM/ref=sr_1_288?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-288,satellite backpacks for men women backpack bags school bag boys under 35 ltr litres casual bagpack black,₹516,3.9,,,,
https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_289?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-289,Gear Superior 16LWater Resistant School ,₹365,3.9,,,,
https://www.amazon.in/American-Tourister-Laptop-Backpack-BLACK/dp/B0C65ZF9SP/ref=sr_1_290?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-290,American Tourister RON Laptop Backpack 01 BLACK,"₹1,999",,,,,
https://www.amazon.in/F-Gear-Blow-Laptop-Backpack-Red/dp/B0749MPCFT/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-291,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Red,Grey) Sch ","₹1,069",4.3,,,,
https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-292,MI Business Casual 21L Water Resistant Laptop Backpack,₹949,4.4,,,,
https://www.amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/ref=sr_1_293?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-293,Gear DOUBLE DECKER 31L Water Resistant Laptop ,"₹1,295",3.5,,,,
https://www.amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_294?crid=2M096C61O4MLT&keywords=bags&qid=1690393422&sprefix=ba%2Caps%2C283&sr=8-294,DZert Clasy Laptop ,₹339,3.8,,,,
